   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString

      0      0      1      0   0.07  11.83  11.92   0.42   0.40   2.61   2.68	HLT_Ele8_v2

      0      0      1      0   0.02  16.70  25.09  -1.84  -1.85  -1.06  -1.06	HLT_Ele8_v2

      0      0      1      0   0.02  12.62  13.54   2.49   2.47  -1.08  -1.08	HLT_Ele8_v2

      0      0      1      0   0.02  11.03  10.80   2.22   2.24  -1.57  -1.57	HLT_Ele8_v2

      0      0      1      0   0.06  19.66  20.24  -1.09  -1.05  -2.08  -2.12	HLT_Ele8_v2

      0      0      1      0   0.05  12.13  11.91  -1.27  -1.27   2.80   2.85	HLT_Ele8_v2

      0      0      1      0   0.08  11.47  11.79  -1.07  -1.02   2.30   2.36	HLT_Ele8_v2

      0      0      1      0   0.04  13.87  16.56   1.33   1.32  -2.85  -2.82	HLT_Ele8_v2

      0      0      1      0   0.10  15.19  15.37   0.42   0.33   0.26   0.32	HLT_Ele8_v2

      0      0      1      0   0.05  18.38  18.12  -2.43  -2.45  -1.73  -1.77	HLT_Ele8_v2

      0      0      1      0   0.02  27.70  29.59   2.52   2.53   1.08   1.07	HLT_Ele8_v2

      0      0      1      0   0.05  11.31  11.51  -2.11  -2.12  -0.29  -0.24	HLT_Ele8_v2

      0      0      1      0   0.04  12.77  13.36  -2.37  -2.34   0.07   0.05	HLT_Ele8_v2

      0      0      1      0   0.08  10.32   8.14   0.21   0.22  -2.28  -2.36	HLT_Ele8_v2

      0      0      1      0   0.07  11.15   8.34   0.76   0.75   0.77   0.84	HLT_Ele8_v2

      0      0      1      0   0.08  12.05  12.18  -0.60  -0.56   0.10   0.02	HLT_Ele8_v2

      0      0      1      0   0.06  10.34  10.18   1.95   1.98  -0.80  -0.75	HLT_Ele8_v2

      0      0      1      0   0.06  11.49  12.33  -2.45  -2.43  -2.16  -2.21	HLT_Ele8_v2

      0      0      0      0   3.76  10.95   9.40   0.14   2.25   2.03  -1.14	HLT_Ele8_v2

      0      0      1      0   0.07  12.31  12.02   1.00   1.03   0.85   0.78	HLT_Ele8_v2

      0      0      1      0   0.06  10.85   8.44   1.00   1.01  -0.88  -0.83	HLT_Ele8_v2

      0      0      1      0   0.11  10.09   9.55  -0.57  -0.66   1.07   1.14	HLT_Ele8_v2

      0      0      1      0   0.01  11.28  11.34  -2.24  -2.25   0.68   0.68	HLT_Ele8_v2

      0      0      1      0   0.12  10.35   9.48  -0.19  -0.28  -0.34  -0.41	HLT_Ele8_v2

