   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString

      0      0      1      0   0.02  16.70  25.09  -1.84  -1.85  -1.06  -1.06	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  12.62  13.54   2.49   2.47  -1.08  -1.08	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  11.03  10.80   2.22   2.24  -1.57  -1.57	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  11.47  11.79  -1.07  -1.02   2.30   2.36	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  15.19  15.37   0.42   0.33   0.26   0.32	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  18.38  18.12  -2.43  -2.45  -1.73  -1.77	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  11.31  11.51  -2.11  -2.12  -0.29  -0.24	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  12.77  13.36  -2.37  -2.34   0.07   0.05	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.15   8.34   0.76   0.75   0.77   0.84	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  10.34  10.18   1.95   1.98  -0.80  -0.75	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.31  12.02   1.00   1.03   0.85   0.78	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.01  11.28  11.34  -2.24  -2.25   0.68   0.68	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.12  10.35   9.48  -0.19  -0.28  -0.34  -0.41	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  15.17  14.79  -2.10  -2.12   1.02   1.02	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  15.08  15.46   2.41   2.42  -0.57  -0.46	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  11.05   9.97  -2.13  -2.14  -1.17  -1.28	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  15.60  10.89   0.76   0.72  -1.12  -1.07	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  11.75  13.08   2.47   2.45  -0.71  -0.67	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.13  10.14  10.07  -2.20  -2.21   1.00   1.13	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  21.05  22.20   1.61   1.61   2.77   2.80	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.12  16.62  13.47   1.31   1.30  -0.50  -0.38	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  11.04  11.90  -2.39  -2.40  -0.25  -0.27	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  10.34  12.73   2.37   2.41   2.85   2.85	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  11.16  10.80  -1.30  -1.32   2.67   2.58	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  41.98  42.32   0.98   0.96  -2.86  -2.85	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  14.86  14.85  -2.01  -2.01  -3.10  -3.08	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  10.24  10.34  -2.21  -2.22  -1.34  -1.26	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  16.79  16.98   1.18   1.16  -0.67  -0.69	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  21.68  21.46   0.25   0.21   1.05   1.10	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  16.35  16.25   0.85   0.84  -0.99  -1.09	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.13  10.87  11.98  -0.03  -0.09   1.03   1.14	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  26.49  26.31  -0.62  -0.60  -1.93  -1.95	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.68  10.53   1.48   1.47   1.17   1.10	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.99  12.33  -1.53  -1.53  -2.10  -2.16	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.15  10.37  10.40   0.24   0.20   1.52   1.37	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  10.55  11.36  -1.26  -1.24   1.91   1.81	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  17.37  18.36  -2.06  -2.06  -0.37  -0.48	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  15.65  16.75  -2.00  -2.09  -3.01  -2.98	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.01  19.35  18.98  -1.15  -1.15  -2.83  -2.84	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  18.69  13.49   0.06   0.01  -2.16  -2.11	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  23.84  35.35  -2.52  -2.47  -2.42  -2.36	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  10.96  11.17  -0.72  -0.69   0.45   0.37	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  16.94  16.85  -0.15  -0.13   2.42   2.44	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  11.88  11.69  -2.41  -2.42  -2.74  -2.72	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  10.75  11.05   2.02   1.99  -0.69  -0.61	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.18   8.45   1.11   1.09  -0.18  -0.11	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  14.58  15.29  -2.29  -2.25   0.02   0.08	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  10.10  15.18  -1.63  -1.59  -1.75  -1.71	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.01  43.66  43.74  -1.63  -1.63  -2.50  -2.52	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.95  12.12  -1.46  -1.47   0.09   0.02	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  10.93  15.50   2.01   1.98   0.96   0.99	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  13.83   8.00  -0.11  -0.11   1.74   1.79	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  13.88   9.76   0.33   0.35  -1.67  -1.60	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.41  11.10  -1.05  -1.06  -3.13   3.08	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  19.77  14.68  -0.80  -0.78  -2.94  -2.98	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  11.32  12.12  -1.20  -1.19  -2.61  -2.55	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  16.52  19.79  -2.56  -2.52  -1.37  -1.32	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  11.20  11.52   2.50   2.48  -1.09  -1.13	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      0      0   3.00  11.11   9.34   2.29   2.25  -1.77   1.51	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.56  10.52   0.34   0.37   0.92   0.85	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  10.77   9.98   0.30   0.31  -1.30  -1.36	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.00  35.27  34.97  -1.09  -1.09   1.82   1.82	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  10.29  10.26  -0.62  -0.57   0.24   0.32	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  15.44  15.04  -1.35  -1.37  -0.80  -0.89	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  13.81  13.52   0.11   0.16   0.43   0.36	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  16.44  16.52   0.27   0.24   0.40   0.35	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  13.48  13.33  -0.66  -0.68  -0.50  -0.41	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  22.15  22.22   0.39   0.37  -0.85  -0.87	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  12.86  15.30  -1.40  -1.39   1.30   1.26	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  19.32  18.48  -0.74  -0.80   0.45   0.52	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  12.07  11.89  -1.96  -1.95   2.86   2.90	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  10.15  10.15   1.37   1.36   0.98   0.89	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  14.17  13.92   1.27   1.28  -2.58  -2.62	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  26.59  26.44   2.30   2.29  -0.84  -0.82	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  13.15  12.55  -1.41  -1.41  -2.07  -2.01	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      0      0   4.57  12.39  20.72   1.24  -2.31  -2.85   0.04	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  12.31  20.72  -2.36  -2.31   0.12   0.04	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  13.50  12.95   1.40   1.43  -1.83  -1.86	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  12.37  12.48  -1.95  -1.98  -1.48  -1.52	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  12.31  12.26   2.00   2.01  -0.08  -0.05	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  13.94  14.11  -2.37  -2.36  -1.76  -1.81	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  11.93  12.86  -2.37  -2.40  -0.28  -0.19	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.79   8.70  -0.90  -0.90  -1.38  -1.31	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  10.49  11.06   1.89   1.91   2.32   2.31	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  16.95  16.74  -0.94  -0.94  -0.34  -0.40	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  15.15  15.03  -0.17  -0.16   0.55   0.57	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  18.47  17.92  -1.23  -1.26   1.04   1.13	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  12.27  12.03  -2.12  -2.14  -1.81  -1.87	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  10.93  11.80   0.24   0.29  -0.76  -0.69	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  13.94  13.70  -1.58  -1.60   2.29   2.35	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.11  11.60  10.94  -0.14  -0.23  -2.65  -2.72	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  11.08   8.22   0.89   0.92  -0.74  -0.81	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  11.33  11.56  -2.10  -2.10  -0.46  -0.45	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  10.28  10.39   1.30   1.28   0.33   0.38	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  31.39  31.97  -1.54  -1.52  -0.73  -0.80	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  13.59  12.58  -1.39  -1.40  -1.02  -1.08	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  20.40  20.02  -2.28  -2.30   2.62   2.66	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  11.38  11.03   1.56   1.56   2.23   2.16	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.15  13.43  13.23   2.24   2.28  -2.02  -1.87	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  13.30  19.08  -0.88  -0.82  -1.35  -1.35	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  11.76  18.83   2.54   2.51  -1.57  -1.64	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  14.73  14.61  -2.33  -2.32  -0.36  -0.33	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  17.63  14.05  -0.18  -0.21  -0.42  -0.37	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  10.75  10.43  -0.31  -0.31   1.46   1.52	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  19.96  19.57  -1.27  -1.28   1.58   1.55	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  11.45  12.87  -1.43  -1.44   1.45   1.41	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  14.48  14.90   0.71   0.78  -1.54  -1.60	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  13.74  14.53   2.44   2.43   2.10   2.09	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  10.45  10.42   0.34   0.33   0.80   0.73	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  10.69  13.49   2.36   2.36   2.64   2.61	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  13.49  14.97  -0.60  -0.60  -2.17  -2.19	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.83  11.72   0.95   0.97  -0.83  -0.77	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  14.70  14.58  -0.33  -0.30  -1.15  -1.10	HLT_Ele8_CaloIdL_CaloIsoVL_v2

