   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString

      0      0      0      0   3.69  25.27  49.74   0.51  -1.57   1.62  -1.61	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.22  26.55  46.83  -0.46   0.39  -0.80   2.30	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.80  23.63  49.52  -1.36  -0.56  -1.71   1.89	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.04  14.01  46.78   0.94   1.03   1.79  -1.25	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.06  31.55  64.27  -0.68   0.03  -0.86   2.45	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.36  12.41  41.21   1.30   1.19  -0.08   2.28	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.18  22.72  82.40  -1.74   1.26   1.20  -1.70	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.86  15.82  95.36  -0.75  -0.24   2.19  -0.63	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   1.07  15.08  44.13   2.41   1.52  -0.57   0.01	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.02 101.10 161.41   1.28   1.35  -2.00   1.27	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.78  38.03  64.25  -0.82   1.30  -2.98   0.15	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.78  26.30  50.04   2.18   2.25   1.38  -1.40	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.32  26.13  74.86  -1.00  -2.52   0.79  -2.17	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.67  13.25  44.64  -2.40   1.15   2.45  -0.80	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.19  10.83  53.10  -0.35  -2.36  -0.29  -2.77	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.42  34.81  79.97  -1.10  -2.61  -2.15   1.07	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.71  72.13  63.86  -2.05   0.54  -1.46   1.19	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   2.81  72.13  40.66  -2.05  -2.20  -1.46   2.02	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   1.84  10.77  51.51   0.00  -1.51  -1.02  -2.06	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.80  26.15  58.95  -0.17   1.98  -3.01   0.12	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

