   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString

      0     11      1      1   0.00  11.83  11.83   0.42   0.42   2.61   2.61	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.62  13.29   2.49   2.49  -1.08  -1.08	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.04  11.03  10.88   2.22   2.23  -1.57  -1.53	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  12.13  11.93  -1.27  -1.27   2.80   2.80	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  11.47  11.40  -1.07  -1.07   2.30   2.28	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  15.19  14.89   0.42   0.42   0.26   0.26	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.02  11.31  11.69  -2.11  -2.10  -0.29  -0.31	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      1      1   0.01  11.31  11.64  -2.11  -2.11  -0.29  -0.28	HLT_Ele8_CaloIdL_TrkIdVL_v2
      2    -11      1      1   0.14  11.31  11.51  -2.11  -2.12  -0.29  -0.15	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.32   8.15   0.21   0.21  -2.28  -2.28	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.15   8.31   0.76   0.76   0.77   0.77	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.01  12.05  11.89  -0.60  -0.61   0.10   0.11	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1    -11      1      1   0.00  12.05  11.95  -0.60  -0.60   0.10   0.10	HLT_Ele8_CaloIdL_TrkIdVL_v2
      2     11      1      1   0.06  12.05  11.89  -0.60  -0.61   0.10   0.03	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      0      0   3.79  10.95   9.23   0.14   2.27   2.03  -1.11	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.31  12.35   1.00   1.00   0.85   0.85	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.85   8.48   1.00   1.00  -0.88  -0.88	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.35   9.69  -0.19  -0.19  -0.34  -0.33	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.54   8.42  -1.09  -1.09   0.33   0.33	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.85   8.28  -0.46  -0.46   2.69   2.69	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  15.60  10.60   0.76   0.76  -1.12  -1.12	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  18.23  17.99  -1.04  -1.04  -2.92  -2.92	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  13.77   9.43  -1.26  -1.26  -0.52  -0.52	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.16  10.93   1.70   1.70   1.06   1.06	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  21.05  22.24   1.61   1.61   2.77   2.77	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.91  10.77   0.75   0.75   1.65   1.65	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  16.62  13.35   1.31   1.31  -0.50  -0.51	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.06  10.97   0.76   0.76   2.49   2.49	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.04  12.02  -2.39  -2.39  -0.25  -0.25	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  12.83  12.72  -0.69  -0.69  -1.73  -1.73	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  10.91  10.86   1.33   1.33  -0.98  -0.98	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.16  11.03  -1.30  -1.30   2.67   2.67	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  41.98  41.78   0.98   0.98  -2.86  -2.86	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  14.68  14.38  -0.93  -0.93  -1.95  -1.95	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  10.24  10.46  -2.21  -2.21  -1.34  -1.35	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  13.50  13.38   1.28   1.28   2.38   2.38	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  16.79  16.70   1.18   1.18  -0.67  -0.67	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.02  21.68  21.21   0.25   0.26   1.05   1.03	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      1      1   0.02  21.68  21.27   0.25   0.25   1.05   1.03	HLT_Ele8_CaloIdL_TrkIdVL_v2

